"","nspecies","nfamilies","nguilds","divguilds"
"nspecies",1,0.978215879536165,0.940106611539592,0.845658854560745
"nfamilies",0.978215879536165,1,0.949448422746238,0.872577048610936
"nguilds",0.940106611539592,0.949448422746238,1,0.970841097262135
"divguilds",0.845658854560745,0.872577048610936,0.970841097262135,1
