"","term","Estimate","StdErr","t.value","p.value"
"1","(Intercept)",-0.00567596708167072,0.052727089707974,-0.107648025201215,0.914430124613804
"2","log(nfam + 2)",0.00255829840361517,0.0148024922401677,0.172828896790301,0.863037328284425
"3","(Intercept)",0.000968550580416201,0.054452800314265,0.0177869746794724,0.985834301780149
"4","log(ngui + 2)",-0.000454325671971294,0.0164959777813035,-0.0275416030498189,0.978067260491065
"5","(Intercept)",0.00206230890057769,0.0496693287995176,0.0415207724852067,0.96694031434911
"6","shan",-0.00122213245168091,0.0160609049798516,-0.076093623193343,0.939454026120449
