order,family,tip_name,maleness,nspe,nfam,ngui,shan
Lamiales,Lamiaceae,Teucrium_chamaedrys,0.54837946534185,30,17,13,2.2185224296016828
Lamiales,Lamiaceae,Teucrium_montanum,0.5615050651230101,18,11,9,2.0744897329904974
Lamiales,Lamiaceae,Thymus_praecox,0.5551398828887443,21,11,10,2.184660488307191
Malvales,Malvaceae,Tilia_cordata,0.6241887905604719,120,41,14,2.0474323161906858
Fabales,Fabaceae,Trifolium_medium,0.7142857142857143,34,14,23,2.8063639523075907
Fabales,Fabaceae,Trifolium_pratense,0.5152354570637119,82,26,27,2.7219815761007227
Fabales,Fabaceae,Trifolium_repens,0.6965853658536586,61,22,25,2.8586174950608174
Dipsacales,Caprifoliaceae,Valeriana_officinalis,0.6000000000000001,33,18,18,2.6885622104554865
Lamiales,Scrophulariaceae,Verbascum_lychnitis,0.5297138664710198,23,13,11,2.071197597049149
Lamiales,Scrophulariaceae,Verbascum_thapsus,0.3187414500683995,46,16,15,2.0576303830637737
Lamiales,Verbenaceae,Verbena_officinalis,0.3333333333333333,5,4,4,1.5607104090414063
Lamiales,Plantaginaceae,Veronica_chamaedrys,0.5384615384615384,33,18,20,2.541035196699964
Lamiales,Plantaginaceae,Veronica_officinalis,0.2848297213622291,16,10,10,2.0075210235668908
Dipsacales,Adoxaceae,Viburnum_lantana,0.3166397415185783,28,18,15,2.4853414923810724
Fabales,Fabaceae,Vicia_cracca,0.5447647951441578,94,23,23,2.4695574032611787
Malpighiales,Violaceae,Viola_biflora,0.4510166358595194,7,3,3,1.073542846408523
Malpighiales,Violaceae,Viola_reichenbachiana,0.3517786561264822,11,7,5,1.6762349391347307
