order,family,tip_name,maleness,nspe,nfam,ngui,shan,height,sla_imp,nectar,color,shape,polli,range
Lamiales,Lamiaceae,Lamium_galeobdolon,0.3974630021141649,31,11,10,2.0412300898850155,0.45,22.9,present,yellow,lip,H,1969
Lamiales,Lamiaceae,Lamium_maculatum,0.6140350877192983,40,12,16,2.5420385069197597,0.6,24,present,purple,lip,H,2395
Fabales,Fabaceae,Lathyrus_tuberosus,0.5225225225225226,34,13,13,2.322753789816786,1,28.655,present,red,flag,H,1742
Asterales,Campanulaceae,Legousia_speculum-veneris,0.15384615384615385,0,0,0,0,0.25,65.13,NA,violet,disk,B,722
Brassicales,Brassicaceae,Lepidium_draba,0.42523094688221713,32,13,18,2.6522293423458936,0.4,18.5,present,white,disk,A,1513
Lamiales,Oleaceae,Ligustrum_vulgare,0.6638655462184874,62,22,13,1.9378788498257917,5,14.1,present,white,funnel,B,2345
Liliales,Liliaceae,Lilium_martagon,0.514053716427233,8,4,3,1.1490596969706202,0.75,27.5,present,purple,bell,F,1083
Lamiales,Plantaginaceae,Linaria_alpina,0.5626566416040101,4,2,4,1.5498260458782016,0.08,25,plenty,violet,lip,H,68
Lamiales,Plantaginaceae,Linaria_vulgaris,0.4805970149253731,32,13,15,2.18811316321026,0.8,17.05,present,yellow,lip,H,2923
Dipsacales,Caprifoliaceae,Lonicera_alpigena,0.5986024844720498,24,10,7,1.6647359348337571,1.5,28.86,plenty,red,lip,B,145
Dipsacales,Caprifoliaceae,Lonicera_periclymenum,0.4698774382875885,43,18,12,2.0203999470101532,6,14.2,plenty,white,lip,F,2096
Fabales,Fabaceae,Lotus_alpinus,0.41496598639455784,0,0,0,0,0.1,25.2,present,yellow,flag,H,20
Fabales,Fabaceae,Lotus_corniculatus,0.436241610738255,107,32,22,2.544002276487397,0.35,23.05,present,yellow,flag,H,2931
Caryophyllales,Caryophyllaceae,Silene_flos-cuculi,0.54320987654321,14,10,11,2.2783025250391344,0.75,23.085,present,red,stalk,H,2901
Ericales,Primulaceae,Lysimachia_europaea,0.4241645244215938,2,2,2,1.0986122886681096,0.25,41.02,NA,white,disk,P,1284
Ericales,Primulaceae,Lysimachia_vulgaris,0.5916030534351145,27,12,12,2.0231446339739554,1.5,42.2,none,yellow,disk,P,2911
